control_dgp,tau_shape,n_per_arm,lambda,rank,crit_wald,power_wald,crit_tmax,power_tmax,power_rw_any
phase1_empirical,pilot_proportional,1150,18.12030485581424,6,12.591587243743978,0.9127816474678048,2.5761263827670615,0.8955,0.8926
phase1_empirical,pilot_proportional,1200,18.908144197371413,6,12.591587243743978,0.9254185881004502,2.5761263827670615,0.9107,0.904
phase1_empirical,pilot_proportional,1250,19.695983538928537,6,12.591587243743978,0.9364150308326298,2.5761263827670615,0.92175,0.9126
phase1_empirical,pilot_proportional,1300,20.48382288048567,6,12.591587243743978,0.9459461375939855,2.5761263827670615,0.93255,0.9386
phase1_empirical,pilot_proportional,1350,21.271662222042806,6,12.591587243743978,0.9541761042449443,2.5761263827670615,0.9427,0.9334
phase1_empirical,pilot_proportional,1400,22.059501563599962,6,12.591587243743978,0.9612570721870497,2.5761263827670615,0.95005,0.9478
phase1_empirical,pilot_proportional,1450,22.847340905157125,6,12.591587243743978,0.9673285905291134,2.5761263827670615,0.9582,0.9542
phase1_empirical,pilot_proportional,1500,23.635180246714253,6,12.591587243743978,0.9725175131677484,2.5761263827670615,0.9607,0.96
phase1_empirical,pilot_proportional,1550,24.423019588271398,6,12.591587243743978,0.9769382294573759,2.5761263827670615,0.96925,0.9642
phase1_empirical,pilot_proportional,1600,25.210858929828547,6,12.591587243743978,0.9806931415834417,2.5761263827670615,0.97285,0.9706
phase1_empirical,pilot_proportional,1650,25.998698271385663,6,12.591587243743978,0.9838733156469409,2.5761263827670615,0.9779,0.9774
phase1_empirical,pilot_proportional,1700,26.786537612942823,6,12.591587243743978,0.9865592463782992,2.5761263827670615,0.9808,0.9788
phase1_empirical,pilot_proportional,1750,27.574376954499954,6,12.591587243743978,0.9888216870618537,2.5761263827670615,0.98375,0.9834
phase1_empirical,pilot_proportional,1800,28.362216296057074,6,12.591587243743978,0.9907225065415749,2.5761263827670615,0.98465,0.9844
phase1_empirical,pilot_proportional,1850,29.150055637614244,6,12.591587243743978,0.992315544066728,2.5761263827670615,0.98735,0.9854
phase1_empirical,pilot_proportional,1900,29.937894979171386,6,12.591587243743978,0.9936474402654227,2.5761263827670615,0.98885,0.9894
phase1_empirical,pilot_proportional,1950,30.72573432072852,6,12.591587243743978,0.9947584287933366,2.5761263827670615,0.9901,0.9894
phase1_empirical,pilot_proportional,2000,31.513573662285687,6,12.591587243743978,0.9956830783112248,2.5761263827670615,0.9925,0.9934
phase1_empirical,pilot_proportional,2050,32.301413003842804,6,12.591587243743978,0.996450978529121,2.5761263827670615,0.9939,0.9936
phase1_empirical,pilot_proportional,2100,33.089252345399956,6,12.591587243743978,0.9970873672521564,2.5761263827670615,0.9947,0.996
phase1_empirical,pilot_proportional,2150,33.87709168695709,6,12.591587243743978,0.9976136978041328,2.5761263827670615,0.99555,0.995
phase1_empirical,pilot_proportional,2200,34.664931028514246,6,12.591587243743978,0.9980481480137435,2.5761263827670615,0.9968,0.9948
phase1_empirical,pilot_proportional,2250,35.45277037007135,6,12.591587243743978,0.9984060732370134,2.5761263827670615,0.99715,0.9976
phase1_empirical,pilot_proportional,2300,36.24060971162848,6,12.591587243743978,0.9987004067580677,2.5761263827670615,0.9973,0.9974
phase1_empirical,pilot_proportional,2350,37.02844905318565,6,12.591587243743978,0.9989420114457807,2.5761263827670615,0.99805,0.998
phase1_empirical,pilot_proportional,2400,37.81628839474283,6,12.591587243743978,0.999139986820607,2.5761263827670615,0.9984,0.9984
phase1_empirical,pilot_proportional,2450,38.60412773629996,6,12.591587243743978,0.99930193576652,2.5761263827670615,0.99865,0.9988
phase1_empirical,pilot_proportional,2500,39.391967077857075,6,12.591587243743978,0.9994341950591521,2.5761263827670615,0.999,0.9994
phase1_empirical,pilot_proportional,2550,40.17980641941419,6,12.591587243743978,0.9995420337150145,2.5761263827670615,0.99935,0.9994
phase1_empirical,pilot_proportional,2600,40.96764576097134,6,12.591587243743978,0.9996298229316707,2.5761263827670615,0.99895,0.9992
phase1_empirical,pilot_proportional,2650,41.75548510252851,6,12.591587243743978,0.9997011811113404,2.5761263827670615,0.99955,0.9998
phase1_empirical,pilot_proportional,2700,42.54332444408561,6,12.591587243743978,0.9997590971609337,2.5761263827670615,0.99965,0.999
phase1_empirical,pilot_proportional,2750,43.331163785642794,6,12.591587243743978,0.9998060349551972,2.5761263827670615,0.99945,0.9996
phase1_empirical,pilot_proportional,2800,44.119003127199925,6,12.591587243743978,0.9998440215476517,2.5761263827670615,0.9995,0.9998
phase1_empirical,pilot_proportional,2850,44.9068424687571,6,12.591587243743978,0.999874721424101,2.5761263827670615,0.99965,0.9998
phase1_empirical,pilot_proportional,2900,45.69468181031425,6,12.591587243743978,0.9998994988209129,2.5761263827670615,0.9998,0.9996
phase1_empirical,pilot_proportional,2950,46.48252115187134,6,12.591587243743978,0.9999194698781606,2.5761263827670615,0.9999,0.9998
phase1_empirical,pilot_proportional,3000,47.270360493428505,6,12.591587243743978,0.9999355461676728,2.5761263827670615,0.99995,0.9996
